event,gender,time_distance,athlete,location,date,,,,,,,,,
100m,M,10.06,Bob Hayes,"Tokyo, Japan","October 15, 1964",,,,,,,,,
100m,M,10.03,Jim Hines,"Sacramento, USA","June 20, 1968",,,,,,,,,
100m,M,10.02,Charles Greene,"Mexico City, Mexico","October 13, 1968",,,,,,,,,
100m,M,9.95,Jim Hines,"Mexico City, Mexico","October 14, 1968",,,,,,,,,
100m,M,9.93,Calvin Smith,"Colorado Springs, USA","July 3, 1983",,,,,,,,,
100m,M,9.83,Ben Johnson,"Rome, Italy","August 30, 1987",,,,,,,,,
100m,M,9.93,Carl Lewis,"Rome, Italy","August 30, 1987",,,,,,,,,
100m,M,,,"Zürich, Switzerland","August 17, 1988",,,,,,,,,
100m,M,9.79,Ben Johnson,"Seoul, South Korea","September 24, 1988",,,,,,,,,
100m,M,9.92,Carl Lewis,"Seoul, South Korea","September 24, 1988",,,,,,,,,
100m,M,9.9,Leroy Burrell,"New York, USA","June 14, 1991",,,,,,,,,
100m,M,9.86,Carl Lewis,"Tokyo, Japan","August 25, 1991",,,,,,,,,
100m,M,9.85,Leroy Burrell,"Lausanne, Switzerland","July 6, 1994",,,,,,,,,
100m,M,9.84,Donovan Bailey,"Atlanta, USA","July 27, 1996",,,,,,,,,
100m,M,9.79,Maurice Greene,"Athens, Greece","June 16, 1999",,,,,,,,,
100m,M,9.78,Tim Montgomery,"Paris, France","September 14, 2002",,,,,,,,,
100m,M,9.77,Asafa Powell,"Athens, Greece","June 14, 2005",,,,,,,,,
100m,M,,Justin Gatlin,"Doha, Qatar","May 12, 2006",,,,,,,,,
100m,M,,Asafa Powell,"Gateshead, United Kingdom","June 11, 2006",,,,,,,,,
100m,M,,,"Zürich, Switzerland","August 18, 2006",,,,,,,,,
100m,M,9.74,,"Rieti, Italy","September 9, 2007",,,,,,,,,
100m,M,9.72,Usain Bolt,"New York, USA","May 31, 2008",,,,,,,,,
100m,M,9.69,,"Beijing, China","August 16, 2008",,,,,,,,,
100m,M,9.58,,"Berlin, Germany","August 16, 2009",,,,,,,,,
200m,M,19.83 A,Tommie Smith,"Mexico City, Mexico","October 16, 1968[2]",,,,,,,,,
200m,M,19.72 A,Pietro Mennea,"Mexico City, Mexico","September 12, 1979[2]",,,,,,,,,
200m,M,19.66,Michael Johnson,"Atlanta, United States","June 23, 1996[2]",,,,,,,,,
200m,M,19.32,Michael Johnson,"Atlanta, United States","August 1, 1996[2]",,,,,,,,,
200m,M,19.3,Usain Bolt,"Beijing, China","August 20, 2008[2]",,,,,,,,,
200m,M,19.19,Usain Bolt,"Berlin, Germany","August 20, 2009",,,,,,,,,
400m,M,44.95,Lee Evans,"Winnipeg, Canada","July 30, 1967",,,,,,,,,
400m,M,44.6,John Smith,"Cali, Colombia","August 1, 1971",,,,,,,,,
400m,M,44.26,Alberto Juantorena,"Montreal, Canada","July 29, 1976",,,,,,,,,
400m,M,44.1,Butch Reynolds,"Columbus, Ohio, USA","May 3, 1987",,,,,,,,,
400m,M,43.93,Butch Reynolds,"Indianapolis, USA","July 20, 1988",,,,,,,,,
400m,M,43.29,Butch Reynolds,"Zürich, Switzerland","August 17, 1988[1]",,,,,,,,,
400m,M,43.18,Michael Johnson,"Seville, Spain","August 26, 1999[1]",,,,,,,,,
400m,M,43.03,Wayde van Niekerk,"Rio de Janeiro, Brazil","August 14, 2016[6]",,,,,,,,,
800m,M,1:51.9+,Ted Meredith (USA),"Stockholm, Sweden[1]",1912-07-08,,,,,,,,,
800m,M,1:51.6y,Otto Peltzer (GER),"London, United Kingdom[1]",1926-07-03,,,,,,,,,
800m,M,1:50.6,Sera Martin (FRA),"Paris, France[1]",1928-07-14,,,,,,,,,
800m,M,1:49.8,Tommy Hampson (GBR),"Los Angeles, United States[1]",1932-08-02,,,,,,,,,
800m,M,1:49.8y,Ben Eastman (USA),"Princeton, United States[1]",1934-06-16,,,,,,,,,
800m,M,1:49.7,Glenn Cunningham (USA),"Stockholm, Sweden[1]",1936-08-20,,,,,,,,,
800m,M,1:49.6y,Elroy Robinson (USA),"New York, United States[1]",1937-07-11,,,,,,,,,
800m,M,1:48.4+,Sydney Wooderson (GBR),"London, United Kingdom[1]",1938-08-20,,,,,,,,,
800m,M,1:46.6,Rudolf Harbig (GER),"Milan, Italy[1]",1939-07-15,,,,,,,,,
800m,M,1:45.7,Roger Moens (BEL),"Oslo, Norway[1]",1955-08-03,,,,,,,,,
800m,M,1:44.3+,Peter Snell (NZL),"Christchurch, New Zealand[1]",1962-02-03,,,,,,,,,
800m,M,1:44.3,Ralph Doubell (AUS),"Mexico City, Mexico[1]",1968-10-15,,,,,,,,,
800m,M,1:44.3,Dave Wottle (USA),"Eugene, United States[1]",1972-07-01,,,,,,,,,
800m,M,1:43.7,Marcello Fiasconaro (ITA),"Milan, Italy[1]",1973-06-27,,,,,,,,,
800m,M,1:43.5,Alberto Juantorena (CUB),"Montreal, Canada[1]",1976-07-25,,,,,,,,,
800m,M,1:43.4,Alberto Juantorena (CUB),"Sofia, Bulgaria[1]",1977-08-21,,,,,,,,,
800m,M,1:42.4,Sebastian Coe (GBR),"Oslo, Norway[1]",1979-07-05,,,,,,,,,
800m,M,1:41.73,Sebastian Coe (GBR),"Florence, Italy[1]",1981-06-10,,,,,,,,,
800m,M,1:41.73,Wilson Kipketer (DEN),"Stockholm, Sweden[1]",1997-07-07,,,,,,,,,
800m,M,1:41.24,Wilson Kipketer (DEN),"Zürich, Switzerland[1]",1997-08-13,,,,,,,,,
800m,M,1:41.11,Wilson Kipketer (DEN),"Cologne, Germany[1]",1997-08-24,,,,,,,,,
800m,M,1:41.09,David Rudisha (KEN),"Berlin, Germany[2]",2010-08-22,,,,,,,,,
800m,M,1:41.01,David Rudisha (KEN),"Rieti, Italy[2]",2010-08-29,,,,,,,,,
800m,M,1:40.91,David Rudisha (KEN),"London, United Kingdom",2012-08-09,,,,,,,,,
1500m,M,3:55.8,Abel Kiviat (USA),"Cambridge, United States",1912-06-08,,,,,,,,,
1500m,M,3:54.7,John Zander (SWE),"Stockholm, Sweden",1917-08-05,,,,,,,,,
1500m,M,3:52.6,Paavo Nurmi (FIN),"Helsinki, Finland",1924-06-19,,,,,,,,,
1500m,M,3:51.0,Otto Peltzer (GER),"Berlin, Germany",1926-09-11,,,,,,,,,
1500m,M,3:49.2,Jules Ladoumegue (FRA),"Paris, France",1930-10-05,,,,,,,,,
1500m,M,3:49.2,Luigi Beccali (ITA),"Turin, Italy",1933-09-09,,,,,,,,,
1500m,M,3:49.0,Luigi Beccali (ITA),"Milan, Italy",1933-09-17,,,,,,,,,
1500m,M,3:48.8,Bill Bonthron (USA),"Milwaukee, United States",1934-06-30,,,,,,,,,
1500m,M,3:47.8,Jack Lovelock (NZL),"Berlin, Germany",1936-08-06,,,,,,,,,
1500m,M,3:47.6,Gunder Hägg (SWE),"Stockholm, Sweden",1941-08-10,,,,,,,,,
1500m,M,3:45.8,Gunder Hägg (SWE),"Stockholm, Sweden",1942-07-17,,,,,,,,,
1500m,M,3:45.0,Arne Andersson (SWE),"Gothenburg, Sweden",1943-08-17,,,,,,,,,
1500m,M,3:43.0,Gunder Hägg (SWE),"Gothenburg, Sweden",1944-07-07,,,,,,,,,
1500m,M,3:43.0,Lennart Strand (SWE),"Malmö, Sweden",1947-07-15,,,,,,,,,
1500m,M,3:43.0,Werner Lueg (FRG),"Berlin, Germany",1952-06-29,,,,,,,,,
1500m,M,3:42.8+,Wes Santee (USA),"Compton, United States",1954-06-04,,,,,,,,,
1500m,M,3:41.8+,John Landy (AUS),"Turku, Finland",1954-06-21,,,,,,,,,
1500m,M,3:40.8,Sándor Iharos (HUN),"Helsinki, Finland",1955-07-28,,,,,,,,,
1500m,M,3:40.8,László Tábori (HUN),"Oslo, Norway",1955-09-06,,,,,,,,,
1500m,M,3:40.8,Gunnar Nielsen (DEN),"Oslo, Norway",1955-09-06,,,,,,,,,
1500m,M,3:40.6,István Rózsavölgyi (HUN),"Tata, Hungary",1956-08-03,,,,,,,,,
1500m,M,3:40.2,Olavi Salsola (FIN),"Turku, Finland",1957-07-11,,,,,,,,,
1500m,M,3:40.2,Olavi Salonen (FIN),"Turku, Finland",1957-07-11,,,,,,,,,
1500m,M,3:38.1,Stanislav Jungwirth (TCH),"Stará Boleslav, Czechoslovakia",1957-07-12,,,,,,,,,
1500m,M,3:36.0,Herb Elliott (AUS),"Gothenburg, Sweden",1958-08-28,,,,,,,,,
1500m,M,3:35.6,Herb Elliott (AUS),"Rome, Italy",1960-09-06,,,,,,,,,
1500m,M,3:33.1,Jim Ryun (USA),"Los Angeles, United States",1967-07-08,,,,,,,,,
1500m,M,3:32.2,Filbert Bayi (TAN),"Christchurch, New Zealand",1974-02-02,,,,,,,,,
1500m,M,3:32.1,Sebastian Coe (GBR),"Zürich, Switzerland",1979-08-15,,,,,,,,,
1500m,M,3:32.1,Steve Ovett (GBR),"Oslo, Norway",1980-07-15,,,,,,,,,
1500m,M,3:31.4,Steve Ovett (GBR),"Koblenz, West Germany",1980-08-27,,,,,,,,,
1500m,M,3:31.24,Sydney Maree (USA),"Cologne, West Germany",1983-08-28,,,,,,,,,
1500m,M,3:30.77,Steve Ovett (GBR),"Rieti, Italy",1983-09-04,,,,,,,,,
1500m,M,3:29.67,Steve Cram (GBR),"Nice, France",1985-07-16,,,,,,,,,
1500m,M,3:29.46,Saïd Aouita (MAR),"Berlin, Germany",1985-08-23,,,,,,,,,
1500m,M,3:28.86,Noureddine Morceli (ALG),"Rieti, Italy",1992-09-06,,,,,,,,,
1500m,M,3:27.37,Noureddine Morceli (ALG),"Nice, France",1995-07-12,,,,,,,,,
1500m,M,3:26.00,Hicham El Guerrouj (MAR),"Rome, Italy",1998-07-14,,,,,,,,,
5000m,M,14:36.6,Hannes Kolehmainen (FIN),"Stockholm, Sweden[1]",1912-07-10,,,,,,,,,
5000m,M,14:35.4,Paavo Nurmi (FIN),"Stockholm, Sweden[1]",1922-09-12,,,,,,,,,
5000m,M,14:28.2,Paavo Nurmi (FIN),"Helsinki, Finland[1]",1924-06-19,,,,,,,,,
5000m,M,14:17.0,Lauri Lehtinen (FIN),"Helsinki, Finland[1]",1932-06-19,,,,,,,,,
5000m,M,14:08.8,Taisto Mäki (FIN),"Helsinki, Finland[1]",1939-06-16,,,,,,,,,
5000m,M,13:58.2,Gunder Hägg (SWE),"Gothenburg, Sweden[1]",1942-09-20,,,,,,,,,
5000m,M,13:57.2,Emil Zátopek (TCH),"Paris, France[1]",1954-05-30,,,,,,,,,
5000m,M,13:56.6,Vladimir Kuts (URS),"Bern, Switzerland[1]",1954-08-29,,,,,,,,,
5000m,M,13:51.6,Chris Chataway (GBR),"London, United Kingdom[1]",1954-10-13,,,,,,,,,
5000m,M,13:51.2,Vladimir Kuts (URS),"Prague, Czechoslovakia[1]",1954-10-23,,,,,,,,,
5000m,M,13:50.8,Sandor Iharos (HUN),"Budapest, Hungary[1]",1955-09-10,,,,,,,,,
5000m,M,13:46.8,Vladimir Kuts (URS),"Belgrad, Yugoslavia[1]",1955-09-18,,,,,,,,,
5000m,M,13:40.6,Sandor Iharos (HUN),"Budapest, Hungary[1]",1955-10-23,,,,,,,,,
5000m,M,13:36.8,Gordon Pirie (GBR),"Bergen, Norway[1]",1956-06-19,,,,,,,,,
5000m,M,13:35.0,Vladimir Kuts (URS),"Rome, Italy[1]",1957-10-13,,,,,,,,,
5000m,M,13:34.8,Ron Clarke (AUS),"Hobart, Australia[1]",1965-01-16,,,,,,,,,
5000m,M,13:33.6,Ron Clarke (AUS),"Auckland, New Zealand[1]",1965-02-01,,,,,,,,,
5000m,M,13:25.8,Ron Clarke (AUS),"Compton, USA[1]",1965-06-04,,,,,,,,,
5000m,M,13:24.2,Kipchoge Keino (KEN),"Auckland, New Zealand[1]",1965-11-30,,,,,,,,,
5000m,M,13:16.6,Ron Clarke (AUS),"Stockholm, Sweden[1]",1966-07-05,,,,,,,,,
5000m,M,13:16.4,Lasse Virén (FIN),"Helsinki, Finland[1]",1972-09-14,,,,,,,,,
5000m,M,13:13.0,Emiel Puttemans (BEL),"Brussels, Belgium[1]",1972-09-20,,,,,,,,,
5000m,M,13:12.9,Dick Quax (NZL),"Stockholm, Sweden[1]",1977-07-05,,,,,,,,,
5000m,M,13:08.4,Henry Rono (KEN),"Berkeley, California, USA[1]",1978-04-08,,,,,,,,,
5000m,M,13:06.20,Henry Rono (KEN),"Knarvik, Norway[1]",1981-09-13,,,,,,,,,
5000m,M,13:00.41,David Moorcroft (GBR),"Oslo, Norway[1]",1982-07-07,,,,,,,,,
5000m,M,13:00.40,Saïd Aouita (MAR),"Oslo, Norway[1]",1985-07-22,,,,,,,,,
5000m,M,12:58.39,Saïd Aouita (MAR),"Rome, Italy[1]",1987-07-27,,,,,,,,,
5000m,M,12:56.96,Haile Gebrselassie (ETH),"Hengelo, Netherlands[1]",1994-06-04,,,,,,,,,
